model,factor,mult,threshold,reward,clicks
DepthFirst,3//1,3,108.0,58.60179,16.0
DepthFirst,3//1,3,111.0,58.62507,16.0
DepthFirst,3//1,3,114.0,58.61505,16.0
DepthFirst,3//1,3,117.0,58.56537,16.0
DepthFirst,3//1,3,120.0,58.5591,16.0
DepthFirst,3//1,3,123.0,58.57677,16.0
DepthFirst,3//1,3,126.0,58.70217,16.0
DepthFirst,3//1,3,129.0,58.55703,16.0
DepthFirst,3//1,3,132.0,58.61148,16.0
DepthFirst,3//1,3,135.0,58.64835,16.0
DepthFirst,3//1,3,138.0,58.61148,16.0
DepthFirst,3//1,3,141.0,58.54953,16.0
DepthFirst,3//1,3,144.0,58.61739,16.0
DepthFirst,3//1,3,147.0,58.5105,16.0
DepthFirst,3//1,3,150.0,58.68,16.0
DepthFirst,3//1,3,153.0,58.62417,16.0
DepthFirst,3//1,3,156.0,58.53483,16.0
BreadthFirst,3//1,3,0.0,1.8012,1.0007
BreadthFirst,3//1,3,3.0,40.8132,9.90969
BreadthFirst,3//1,3,6.0,42.30951,10.01482
BreadthFirst,3//1,3,9.0,44.05764,10.15359
BreadthFirst,3//1,3,12.0,45.81768,10.32977
BreadthFirst,3//1,3,15.0,46.87452,10.44638
BreadthFirst,3//1,3,18.0,48.39111,10.64878
BreadthFirst,3//1,3,21.0,50.28729,10.90505
BreadthFirst,3//1,3,24.0,51.26724,11.05137
BreadthFirst,3//1,3,27.0,52.89444,11.45832
BreadthFirst,3//1,3,30.0,55.75521,12.13135
BreadthFirst,3//1,3,33.0,56.36436,12.29087
BreadthFirst,3//1,3,36.0,56.90367,12.46908
BreadthFirst,3//1,3,39.0,57.57465,12.68717
BreadthFirst,3//1,3,42.0,57.80235,12.83454
BreadthFirst,3//1,3,45.0,58.2018,13.04756
BreadthFirst,3//1,3,48.0,58.45503,13.35374
BreadthFirst,3//1,3,51.0,58.50543,13.53487
BreadthFirst,3//1,3,54.0,58.56822,14.02709
BreadthFirst,3//1,3,57.0,58.64769,14.99373
BreadthFirst,3//1,3,60.0,58.61673,15.12225
BreadthFirst,3//1,3,63.0,58.65972,15.24978
BreadthFirst,3//1,3,66.0,58.6116,15.41572
BreadthFirst,3//1,3,69.0,58.63233,15.49593
BreadthFirst,3//1,3,72.0,58.5456,15.5686
BreadthFirst,3//1,3,75.0,58.58046,15.65212
BreadthFirst,3//1,3,78.0,58.62129,15.70055
BreadthFirst,3//1,3,81.0,58.67445,15.76813
BreadthFirst,3//1,3,84.0,58.5741,15.84111
BreadthFirst,3//1,3,87.0,58.53468,15.87585
BreadthFirst,3//1,3,90.0,58.55874,15.91833
BreadthFirst,3//1,3,93.0,58.6608,15.95994
BreadthFirst,3//1,3,96.0,58.53717,15.97772
BreadthFirst,3//1,3,99.0,58.59705,15.98766
BreadthFirst,3//1,3,102.0,58.67883,15.99733
BreadthFirst,3//1,3,105.0,58.596,16.0
BreadthFirst,3//1,3,108.0,58.59378,16.0
BreadthFirst,3//1,3,111.0,58.51911,16.0
BreadthFirst,3//1,3,114.0,58.51944,16.0
BreadthFirst,3//1,3,117.0,58.50402,16.0
BreadthFirst,3//1,3,120.0,58.61064,16.0
BreadthFirst,3//1,3,123.0,58.57656,16.0
BreadthFirst,3//1,3,126.0,58.55574,16.0
BreadthFirst,3//1,3,129.0,58.54911,16.0
BreadthFirst,3//1,3,132.0,58.66008,16.0
BreadthFirst,3//1,3,135.0,58.59438,16.0
BreadthFirst,3//1,3,138.0,58.71876,16.0
BreadthFirst,3//1,3,141.0,58.56531,16.0
BreadthFirst,3//1,3,144.0,58.51755,16.0
BreadthFirst,3//1,3,147.0,58.62162,16.0
BreadthFirst,3//1,3,150.0,58.57809,16.0
BreadthFirst,3//1,3,153.0,58.56375,16.0
BreadthFirst,3//1,3,156.0,58.63542,16.0
