wid,model,nll,θ_depth,β_depth,β_lead,θ_sat,β_click,β_sat,θ_lead,ε
w60c1428,BreadthFirst,22.904829291736032,1.2069174823625699e-14,0.7585802092245142,5.756078780228853e-16,7.030688718126786e-17,0.5294762761296132,1.0709104215789524,3.3915603634622045e-19,0.0010000000000002327
w64fee36,BreadthFirst,274.7062089278867,3.9999999999999996,2.7828157816389942,0.2200136273561927,7.015680458256616,0.08351807209131902,0.25846521953381013,4.217969961626126e-20,0.0010000000000000002
w66c749f,BreadthFirst,184.89643668422167,2.71468363117416e-13,1.3276328400312347,0.4856840460113297,3.2826773587391397e-12,7.543405879499666e-19,0.1950141923565688,16.657646496998474,0.001000000000001509
w674d7da,BreadthFirst,379.77080510771515,3.9999999999999996,1.4221494472923126,0.0857630247323698,23.700724240012743,0.07407910953122908,0.16303616474220978,3.5170776928477233e-20,0.0010000000000000002
w6826680,BreadthFirst,178.19759758014763,8.217394789793141e-17,2.2376113427345864e-14,0.6326254648854929,1.6960306513383847e-12,7.256643426758245e-18,0.2243828585296192,10.787893665443834,0.030963385518719723
w6956925,BreadthFirst,176.9962045118152,1.0912001502789518e-14,1.4692643881046905,2.9999999999993068,2.2518560509505855e-13,2.9254601556472454e-21,0.6289844224470544,8.831002534282609,0.1438530205839726
w6e8ffbb,BreadthFirst,192.65818608641837,2.95572742893932,2.999999999999994,0.314567876730144,2.5123457635129653e-12,0.024500046707691726,0.3642431423916681,3.9717664916875156e-15,0.1346199869419936
w718f032,BreadthFirst,256.7282915759361,4.0921996542561557e-13,0.06611764112275641,0.2876314895748104,1.8676476215767858e-11,0.038860268087278896,0.09413049912213654,14.605168221036264,0.0010000000000000035
w7272d4a,BreadthFirst,214.90773783294077,1.5218868347430618e-17,0.19102897793247803,0.25907829921427755,19.117132795834124,8.544847168708165e-24,0.27461394815497936,7.198328043735337e-18,0.0010000000000008136
w771a1b9,BreadthFirst,226.97267621584012,4.518971528607824e-18,2.9999999999999996,0.9528026277352994,24.2527879538576,6.547352470587864e-48,1.0601075722978974,0.9732081902202858,0.1716755915884844
w7966091,BreadthFirst,190.6166744734083,7.910060993331423e-13,2.9433110472593804,0.6150740889313304,1.1322103370286798e-17,4.518144730184008e-18,0.37723393567012414,24.470809277950966,0.0010000000000000002
w85f0641,BreadthFirst,269.3423972496865,0.3052441012004052,1.1513303633408905,0.20831391138461228,2.0246927620425043e-10,7.647523519253011e-17,0.09899288776016119,29.99999999999103,0.001000000000013698
w87adde5,BreadthFirst,149.59369549078156,3.493319967453612e-13,2.9999999999999996,0.4544823162053913,2.1710600278892297e-15,4.2700210435820807e-20,0.0021430032729002186,13.659363175751146,0.0010000000000000952
w8a0cf46,BreadthFirst,231.26913034214766,4.6797955200998864e-23,1.8256610765270194,0.37306982840825087,2.7260044562335408e-11,0.021300584689057968,0.177643438491807,20.10684564084997,0.0010000000000000002
w8c9c8db,BreadthFirst,205.51506259649014,2.5412078081345504e-15,2.999999999999977,2.849164695426419,2.0059357354928767e-17,0.009774692043121598,0.8321553320457484,9.789256363067945,0.059423454365314966
w8d47bcc,BreadthFirst,129.85832504596573,5.956699021031198e-12,2.9999999999999996,1.2352155880881488,2.6185716910523694e-11,0.8586158572750429,0.09217703553619523,5.6851587489915225,0.04380393940557639
w8e9d208,BreadthFirst,294.7401118996207,3.9999999999999996,2.336675602647442,0.17981168287795757,1.9018270874046074e-12,0.06219675507994505,0.12047144998764306,5.830189661635793,0.0010000000000000002
w8eb3fba,BreadthFirst,216.59489574298559,9.62778954384319e-15,1.0454104194979852,0.278408307769553,2.157730907615388e-13,1.1577963010797773e-17,0.184886570333434,25.214342471204144,0.057632026447116395
w97d2cbf,BreadthFirst,268.36484339552544,1.1674049803187077,1.4309962565056449,0.26141636488162506,20.540009413778748,2.8089451927036086e-49,0.016923061276403677,22.945466278044215,0.0010000000000000002
w9dae565,BreadthFirst,310.7158576566405,3.99999999999567,2.9999999999999996,0.24930588673253948,2.4454274643859497e-12,0.07773987953009451,0.0801599794211942,2.7634502697472936,0.0010000000000002268
wa2a15d0,BreadthFirst,273.8608600669098,3.564917554376312,2.9999999999999996,0.16560663928198285,4.963729243000161e-12,0.0037727394482667915,0.1646467753756266,5.142076088481602e-12,0.0010000000000000002
wa84db29,BreadthFirst,229.3931161112974,8.643353101881017e-18,6.390933400800053e-14,0.43278549759254387,5.607265914624977e-13,4.153072278951467e-17,0.009940824484031127,11.125976225689561,0.0010000000000000035
waf11118,BreadthFirst,220.05975122169042,2.4045332370859133e-13,1.6132990077777238,0.5757363155265701,2.259377185514314e-13,2.885469969216869e-20,0.1385024174308912,18.426741845730056,0.0010000000000000002
wb118747,BreadthFirst,254.84689420677438,6.120834859071335e-14,2.419302812056497,0.3681618901474829,7.002864738587463e-12,0.013296522522898292,0.1963602495896112,29.647829748369595,0.0010000000000001071
wb16d184,BreadthFirst,240.6899458618895,0.9488398172911454,2.326368658697743,0.3266099322063248,1.650451273460001e-12,5.664651486188728e-22,0.2113729892261874,29.999999999999996,0.0010000000000000002
wb277461,BreadthFirst,216.03541806835025,6.507656634661216e-22,1.283565856078606,0.8286573997361505,4.808023243439753,2.403747626302274e-117,0.3481410695315357,14.427971954398865,0.0010000000000000002
wb6b351e,BreadthFirst,296.28178391816937,3.9999999999997318,2.443180698468926,0.26427866409681944,2.360780477407236e-16,0.012411128065004119,0.11891098726295342,8.34955296594972,0.0010000000000063246
wb6f421e,BreadthFirst,301.7975742795948,2.5253629008423855,1.1588495688386968,0.14393442289521188,29.999999999996664,0.00432705749459057,0.19861371085548254,3.2691184349311125e-9,0.0010000000000028597
wb7d56ca,BreadthFirst,0.9875541281636618,2.3464977076557626e-17,2.9999999999999996,4.928184818909941e-16,2.0787365564271657e-14,1.58106049501857e-15,4.928047930855997e-16,2.0787550627743523e-14,0.0010000000000000002
wbb29510,BreadthFirst,124.98371561545909,1.7621461752858922e-15,2.9999999999889395,0.732410885957835,1.5555815943696058e-12,0.009221857232300346,0.25837776117464756,7.324055034618727,0.001000000000003157
wc85483e,BreadthFirst,264.39078495798765,3.99999999999978,1.894523257033106,0.177623417587404,4.575190652897768e-12,0.025839675137068318,0.14296680489788452,6.355773077152099,0.0010000000000002058
wc9e7250,BreadthFirst,238.69098211108678,7.030086802338222e-14,1.49446850020132,0.36868930208788175,1.8344776462854209,2.8241283795583743e-22,0.29163588477132985,29.99999999999999,0.001000000000000001
wcf2758c,BreadthFirst,207.6736578616116,1.1146148059594435e-16,4.284727553456393e-15,0.40006823021735444,3.76208147160267e-12,9.957780164286212e-18,0.3333134307665028,21.68734906887701,0.001000000000000028
wdd4ef06,BreadthFirst,271.95640288772535,3.5121397481173746,2.9999999999999996,0.11175989601090205,1.4800904881479968e-14,0.005078937811933724,0.17783983675298282,1.1490122994334256e-17,0.001000000000000037
wddb78b9,BreadthFirst,270.5750223908013,3.03792078362496,2.1404084387521394,0.1146653011682061,10.527784940481649,1.3058322760617354e-27,0.22900686518815272,8.511042348515802e-17,0.0010000000000000002
wdf3a36e,BreadthFirst,0.9875541281636618,2.3464977076557626e-17,2.9999999999999996,4.928184818909941e-16,2.0787365564271657e-14,1.58106049501857e-15,4.928047930855997e-16,2.0787550627743523e-14,0.0010000000000000002
we95fcde,BreadthFirst,277.0697319923903,3.8751361328457823,2.9999999999999996,0.29266276824477905,2.2575373319141312e-14,0.02455397657995561,0.12974600288284469,3.6793290262130505e-17,0.0010000000000000015
wf25d2c2,BreadthFirst,307.09497450568887,2.6298380917142214,0.7557759922878472,0.17096443038860057,1.234075713731607e-10,1.2924041563272061e-15,0.08215882102998416,29.999999999999996,0.031235973811267415
wf4961b6,BreadthFirst,277.5612366743016,1.2721980564685218,1.9185726442108393,0.31689051653788575,1.9771322480651958e-23,7.423852370711908e-21,0.13418630119265057,21.210414435688772,0.0010000000000000002
wf67f532,BreadthFirst,177.63429086761633,7.150172270873654e-10,2.9999999999999996,0.40408100408483105,1.3989536680115695e-11,3.248498378990824e-25,0.13190634441769875,17.026316335533227,0.0010000000000058161
wfa3ed63,BreadthFirst,209.48478655994546,1.1298892797004822e-14,1.29297786867972,0.4274166488881225,5.053399551160215e-15,1.0292169755135378e-16,0.22261947309350952,18.84905817229073,0.0010000000000000215
